 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
10-Jun-16,7.5,132,260,204,932,296,24,9.7,     <0.15,7.20,3.68,202,,,,,,,,,,
11-Jun-16,7.4,210,320,232,978,328,28,10.5,     <0.15,11.99,6.55,191,,,,,,,,,,
12-Jun-16,7.5,187,102,82,838,248,23,11.1,     <0.15,5.24,2.37,186,,,,,,,,,,
13-Jun-16,7.6,114,210,164,874,264,24,11.6,     <0.15,5.80,2.94,221,,,,,,,,,,
14-Jun-16,7.4,83,162,118,848,284,19,10.5,     <0.15,4.22,2.13,314,,,,,,,,,,
15-Jun-16,7.3,99,330,224,880,330,20,9.5,     <0.15,4.86,2.24,313,,,,,,,,,,
16-Jun-16,7.3,108,138,104,854,272,20,10.3,     <0.15,4.25,2.05,257,,,,,,,,,,
17-Jun-16,7.5,108,130,110,792,236,17,10.3,     <0.15,3.63,1.95,274,,,,,,,,,,
18-Jun-16,7.4,80,100,78,752,208,16,10.3,     <0.15,3.27,1.93,270,,,,,,,,,,
19-Jun-16,7.4,70,96,68,734,212,18,10.5,     <0.15,3.34,1.49,260,,,,,,,,,,
20-Jun-16,7.4,63,88,68,722,200,15,10.0,     <0.15,3.43,2.02,269,,,,,,,,,,
21-Jun-16,7.4,85,118,88,832,276,17,10.9,     <0.15,3.27,1.58,251,,,,,,,,,,
22-Jun-16,7.3,      T/X,186,148,954,364,26,13.3,     <0.15,6.02,3.29,271,,,,,,,,,,
23-Jun-16,7.3,113,432,272,1014,446,31,11.5,     <0.15,8.20,3.28,302,,,,,,,,,,
24-Jun-16,7.4,225,374,304,1000,384,35,14.7,     <0.15,9.33,4.81,241,,,,,,,,,,
25-Jun-16,7.4,188,210,168,868,284,28,16.0,     <0.15,7.35,4.59,182,,,,,,,,,,
26-Jun-16,7.5,80,272,184,820,284,26,13.4,     <0.15,6.20,2.90,184,,,,,,,,,,
27-Jun-16,7.5,102,292,208,916,350,34,13.7,     <0.15,7.59,3.13,189,,,,,,,,,,
28-Jun-16,7.3,105,156,140,842,252,27,15.2,     <0.15,5.51,3.11,183,,,,,,,,,,
